id,title,description,price,image_url,category,vibe_tags,rating,reviews_count
23,Band Graphic Tee - Vintage Wash,"Oversized vintage-wash graphic tee featuring iconic rock band logo",1899,https://images.unsplash.com/photo-1525393839361-867d646aea41?w=500&h=500&fit=crop,t-shirts,"grunge, band tee, vintage wash, oversized, rock, 90s, alternative",4.6,567
24,Plaid Flannel Shirt - Red and Black,"Classic red and black buffalo plaid flannel shirt, oversized fit",2799,https://images.unsplash.com/photo-1607758164703-e7a8710682cd?w=500&h=500&fit=crop,shirts,"grunge, flannel, plaid, red black, oversized, 90s, alternative",4.4,324
25,Platform Combat Boots,"Black leather combat boots with chunky platform sole and laces",6299,https://plus.unsplash.com/premium_photo-1728158949792-be5ae17fbe55?w=500&h=500&fit=crop,shoes,"grunge, combat boots, platform, black leather, chunky, alternative, 90s",4.8,289
26,Choker Necklace Set,"Black velvet and silver spike choker necklace set of 3",899,https://plus.unsplash.com/premium_photo-1681276170538-092ed3578648?w=500&h=500&fit=crop,accessories,"grunge, choker, black velvet, spikes, 90s, alternative, edgy",4.3,167
27,Distressed Denim Vest,"Light wash denim vest with frayed edges and vintage patches",2199,https://images.unsplash.com/photo-1741943355114-af217a001fe9?w=500&h=500&fit=crop,vests,"grunge, denim vest, distressed, patches, light wash, 90s, alternative",4.5,203
28,Black Mesh Top,"Sheer black mesh long-sleeve top perfect for layering",1599,https://plus.unsplash.com/premium_photo-1723705208853-f49315d82784?w=500&h=500&fit=crop,tops,"grunge, mesh, black, sheer, layering, edgy, alternative",4.2,156
29,Silver Chain Belt,"Chunky silver chain belt with gothic hardware details",2299,https://images.unsplash.com/photo-1679973298076-07d422275c7a?w=500&h=500&fit=crop,accessories,"grunge, chain belt, silver, gothic, chunky, alternative, edgy",4.4,134
30,Oversized Hoodie - Charcoal,"Vintage-style oversized hoodie in charcoal grey with distressed details",3199,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500&h=500&fit=crop,hoodies,"grunge, oversized hoodie, charcoal, vintage, distressed, 90s, alternative",4.6,378
31,Y2K Butterfly Top,"Sparkly mesh top with holographic butterfly print and long sleeves",2299,https://plus.unsplash.com/premium_photo-1669834592356-b5ff164aae8b?w=500&h=500&fit=crop,tops,"Y2K, butterfly, sparkly, mesh, holographic, 2000s, futuristic",4.5,298
32,Low-Rise Cargo Pants,"Olive green cargo pants with multiple pockets and low-rise waist",3599,https://images.unsplash.com/photo-1584302052177-2e90841dad6a?w=500&h=500&fit=crop,pants,"Y2K, cargo, low-rise, olive green, utility, 2000s, streetwear",4.4,256
33,Metallic Mini Skirt,"Silver metallic pleated mini skirt with holographic finish",2799,https://images.unsplash.com/photo-1608033247410-817c68700611?w=500&h=500&fit=crop,skirts,"Y2K, metallic, silver, mini skirt, holographic, futuristic, 2000s",4.6,189
34,Chunky Platform Sneakers,"White and silver chunky platform sneakers with iridescent details",5299,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500&h=500&fit=crop,shoes,"Y2K, platform sneakers, chunky, white silver, iridescent, 2000s",4.7,423
35,Rhinestone Baby Tee,"Pink fitted crop tee with rhinestone heart design and short sleeves",1899,https://images.unsplash.com/photo-1688404537732-16e1ecaf7166?w=500&h=500&fit=crop,t-shirts,"Y2K, baby tee, rhinestone, pink, crop top, fitted, 2000s",4.3,234
36,Iridescent Bucket Hat,"Holographic bucket hat that shifts colors in different light",1599,https://images.unsplash.com/photo-1679324351719-f23312611c50?w=500&h=500&fit=crop,accessories,"Y2K, bucket hat, iridescent, holographic, futuristic, 2000s",4.2,167
37,Chain-Link Purse,"Silver chain-mail mini purse with magnetic closure",3299,https://plus.unsplash.com/premium_photo-1693222144142-bf72bdbf748c?w=500&h=500&fit=crop,bags,"Y2K, chain purse, silver, mini bag, futuristic, 2000s, metallic",4.5,145
38,Velour Tracksuit Set,"Lavender velour zip-up hoodie and matching pants set",4599,https://images.unsplash.com/photo-1540254597053-3901b858d40f?w=500&h=500&fit=crop,sets,"Y2K, velour, tracksuit, lavender, matching set, 2000s, casual",4.4,298
39,Tinted Sunglasses - Rectangle,"Small rectangular tinted sunglasses with colored lenses",999,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500&h=500&fit=crop,accessories,"Y2K, sunglasses, rectangular, tinted, small, 2000s, futuristic",4.1,189
40,Cyber Goth Platform Boots,"Black platform boots with neon green LED strips and buckles",7899,https://plus.unsplash.com/premium_photo-1728158949792-be5ae17fbe55?w=500&h=500&fit=crop,shoes,"Y2K, cyber goth, platform boots, LED, neon green, futuristic, 2000s",4.8,178
41,White Cotton Oversized Tee,"Minimalist oversized white cotton t-shirt with clean lines",1599,https://images.unsplash.com/photo-1529374255404-311a2a4f1fd9?w=500&h=500&fit=crop,t-shirts,"minimalist, white, oversized, cotton, clean lines, basic, simple",4.7,567
42,Black Wide-Leg Trousers,"High-waisted wide-leg trousers in black crepe with pressed seams",4299,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=500&h=500&fit=crop,pants,"minimalist, black, wide-leg, crepe, pressed seams, tailored, clean",4.6,345
43,Beige Cashmere Sweater,"Luxurious beige cashmere crew neck sweater with ribbed trim",6799,https://images.unsplash.com/photo-1631541911232-72bc7448820a?w=500&h=500&fit=crop,knitwear,"minimalist, beige, cashmere, crew neck, luxury, soft, neutral",4.8,423
44,Structured Blazer - Navy,"Tailored navy blazer with clean lines and minimal button details",5999,https://images.unsplash.com/photo-1617137984095-74e4e5e3613f?w=500&h=500&fit=crop,blazers,"minimalist, navy, structured, tailored, clean lines, professional",4.5,289
45,White Leather Sneakers,"Clean white leather sneakers with minimal branding",4599,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500&h=500&fit=crop,shoes,"minimalist, white leather, sneakers, clean, minimal branding, simple",4.7,634
46,Black Slip Dress,"Silk slip dress in black with adjustable straps and midi length",3899,https://images.unsplash.com/photo-1568153487049-4431a8c15c20?w=500&h=500&fit=crop,dresses,"minimalist, slip dress, black silk, adjustable straps, midi, elegant",4.6,267
47,Grey Wool Coat,"Long grey wool coat with clean silhouette and hidden buttons",8999,https://plus.unsplash.com/premium_photo-1661645961406-ad720d57a790?w=500&h=500&fit=crop,coats,"minimalist, grey wool, long coat, clean silhouette, hidden buttons",4.4,156
48,White Button-Down Shirt,"Crisp white cotton button-down with minimal detailing",2799,https://plus.unsplash.com/premium_photo-1661515437892-26ca497e8078?w=500&h=500&fit=crop,shirts,"minimalist, white, button-down, cotton, crisp, minimal, classic",4.8,445
49,Black Straight-Leg Jeans,"High-waisted black straight-leg jeans with no distressing",3599,https://images.unsplash.com/photo-1665672017097-205fe870657f?w=500&h=500&fit=crop,jeans,"minimalist, black jeans, straight-leg, high-waisted, no distressing, clean",4.5,389
50,Leather Crossbody Bag - Tan,"Simple tan leather crossbody bag with adjustable strap",3299,https://plus.unsplash.com/premium_photo-1678739395192-bfdd13322d34?w=500&h=500&fit=crop,bags,"minimalist, tan leather, crossbody, simple, adjustable strap, clean",4.6,234
51,Pink Satin Bow Top,"Romantic pink satin blouse with oversized bow detail at neck",2899,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=500&h=500&fit=crop,blouses,"coquette, pink satin, bow, romantic, oversized bow, feminine, sweet",4.5,298
52,White Ruffle Mini Skirt,"Tiered white cotton mini skirt with delicate ruffle layers",2199,https://images.unsplash.com/photo-1608033247410-817c68700611?w=500&h=500&fit=crop,skirts,"coquette, white, ruffle, mini skirt, tiered, cotton, delicate, sweet",4.6,234
53,Pearl Hair Clips Set,"Set of 5 pearl-adorned hair clips in gold setting",899,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=500&h=500&fit=crop,accessories,"coquette, pearl hair clips, gold, set, delicate, feminine, romantic",4.4,167
54,Lace Trim Camisole - Blush,"Silk camisole in blush pink with intricate lace trim details",2799,https://images.unsplash.com/photo-1484327973588-c31f829103fe?w=500&h=500&fit=crop,tops,"coquette, lace trim, blush pink, silk, intricate, delicate, romantic",4.7,189
55,Mary Jane Shoes - Patent Leather,"Black patent leather Mary Jane shoes with chunky heel",4299,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=500&h=500&fit=crop,shoes,"coquette, mary jane, patent leather, black, chunky heel, vintage, sweet",4.8,256
56,Ribbon Belt - Velvet Pink,"Soft velvet ribbon belt in dusty pink with bow closure",1299,https://images.unsplash.com/photo-1644031260422-4cb8f72438e9?w=500&h=500&fit=crop,accessories,"coquette, ribbon belt, velvet, dusty pink, bow closure, soft, feminine",4.3,134
57,Pleated Tennis Skirt - White,"Classic white pleated tennis skirt with built-in shorts",2599,https://images.unsplash.com/photo-1509631179647-0177331693ae?w=500&h=500&fit=crop,skirts,"coquette, tennis skirt, white, pleated, built-in shorts, classic, sporty",4.5,345
58,Cardigan with Heart Buttons,"Cream cardigan featuring mother-of-pearl heart-shaped buttons",3599,https://plus.unsplash.com/premium_photo-1695339146416-65bfe01ec18d?w=500&h=500&fit=crop,knitwear,"coquette, cardigan, cream, heart buttons, mother-of-pearl, sweet, romantic",4.6,223
59,Satin Hair Scrunchie Set,"Set of 3 silk satin scrunchies in pink, cream, and lavender",699,https://images.unsplash.com/photo-1671272980311-9055ae800653?w=500&h=500&fit=crop,accessories,"coquette, satin scrunchies, silk, pink cream lavender, set, soft, romantic",4.2,298
60,Lace-Up Corset Top,"White cotton corset top with ribbon lace-up front detail",2999,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=500&h=500&fit=crop,tops,"coquette, corset top, white cotton, lace-up, ribbon, romantic, vintage",4.4,189
61,Cropped Fuzzy Sweater - Lavender,"Ultra-soft cropped sweater in lavender with fuzzy texture",2799,https://plus.unsplash.com/premium_photo-1695339146296-ab03c0e6ae50?w=500&h=500&fit=crop,knitwear,"soft girl, fuzzy, lavender, cropped, soft, pastel, cozy, kawaii",4.5,267
62,Heart-Shaped Sunglasses - Pink,"Retro heart-shaped sunglasses with pink-tinted lenses",1299,https://images.unsplash.com/photo-1510560127339-37ce679cfafa?w=500&h=500&fit=crop,accessories,"soft girl, heart sunglasses, pink, retro, kawaii, cute, pastel",4.3,234
63,Oversized Teddy Coat - Cream,"Plush oversized coat in cream with teddy bear texture",6299,https://images.unsplash.com/photo-1539533113208-f6df8cc8b543?w=500&h=500&fit=crop,coats,"soft girl, teddy coat, cream, oversized, plush, cozy, kawaii",4.7,178
64,Pastel Tie-Dye Hoodie,"Soft pastel tie-dye hoodie in pink and blue gradients",3599,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500&h=500&fit=crop,hoodies,"soft girl, tie-dye, pastel, pink blue, hoodie, soft, kawaii",4.4,345
65,Platform Mary Janes - Baby Pink,"Chunky platform Mary Jane shoes in baby pink patent leather",4799,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=500&h=500&fit=crop,shoes,"soft girl, platform mary janes, baby pink, patent, chunky, kawaii",4.6,198
66,Cloud Hair Clips Set,"Set of 6 puffy cloud-shaped hair clips in pastel colors",799,https://images.unsplash.com/photo-1593243878152-e60ce779e43d?w=500&h=500&fit=crop,accessories,"soft girl, cloud clips, pastel, puffy, kawaii, cute, hair accessories",4.2,289
67,Kawaii Character Backpack,"Mini backpack featuring cute anime-style character in pink",2999,https://images.unsplash.com/photo-1622560482379-c9813322e95a?w=500&h=500&fit=crop,bags,"soft girl, kawaii, character, anime, pink, mini backpack, cute",4.5,167
68,Sheer Glitter Top - Pink,"Sparkly sheer mesh top with holographic glitter details",2199,https://plus.unsplash.com/premium_photo-1674069719655-7289402d71e9?w=500&h=500&fit=crop,tops,"soft girl, glitter, sheer, pink, sparkly, holographic, kawaii",4.1,145
69,Plaid Mini Skirt - Pastel,"A-line mini skirt in soft pastel pink and lavender plaid",2599,https://images.unsplash.com/photo-1556747439-3b96858b9d8d?w=500&h=500&fit=crop,skirts,"soft girl, plaid, mini skirt, pastel pink, lavender, a-line, kawaii",4.4,223
70,Puffy Sleeve Crop Top,"White crop top with exaggerated puffy sleeves and bow details",2399,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=500&h=500&fit=crop,tops,"soft girl, puffy sleeves, crop top, white, bow details, kawaii",4.3,256
71,Royal Blue Anarkali Suit,"Embroidered anarkali suit in royal blue with gold thread work and matching dupatta",8999,https://media.istockphoto.com/id/1069662104/photo/pretty-indian-girl.webp?a=1&b=1&s=612x612&w=0&k=20&c=UYtxr-1cLQWnvCUKYX0IStusSUouQYVLdNwXEBCWgaA=,suits,"desi, anarkali, royal blue, embroidered, gold thread, festive, traditional",4.8,150
72,Gold Plated Jhumka Earrings,"Intricate gold plated jhumka earrings with pearl drops",1599,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=500&h=500&fit=crop,jhumkas,"desi, jhumka, gold plated, pearl drops, ethnic, traditional, indian accessories",4.9,250
73,Banarasi Silk Saree - Red,"Classic red Banarasi silk saree with intricate golden zari work, ideal for weddings",12999,https://plus.unsplash.com/premium_photo-1682092039530-584ae1d9da7f?w=500&h=500&fit=crop,sarees,"desi, banarasi, silk, red saree, golden zari, wedding, festive",4.7,110
74,Set of Lac Bangles,"Set of 12 colorful lac bangles with embedded mirror work",999,https://images.unsplash.com/photo-1591210244853-ea68b6126edf?w=500&h=500&fit=crop,bangles,"desi, lac bangles, colorful, mirror work, traditional, indian accessories",4.5,180
75,Embellished Clutch Bag,"Velvet clutch bag with heavy pearl and bead embellishments",2499,https://plus.unsplash.com/premium_photo-1693221161682-29d0ec68ae49?w=500&h=500&fit=crop,bags,"desi, clutch bag, embellished, velvet, pearls, traditional, festive",4.6,95
76,Black Tapered Trousers,"High-waisted black tapered trousers in a professional suiting fabric",3899,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=500&h=500&fit=crop,trousers,"office siren, formal, tailored, black trousers, professional, sleek, workwear",4.7,210
77,Fitted White Shirt,"Classic fitted white shirt with a crisp collar and single cuff",2999,https://plus.unsplash.com/premium_photo-1678218594563-9fe0d16c6838?w=500&h=500&fit=crop,shirts,"office siren, formal, white shirt, fitted, classic, professional, workwear",4.8,320
78,Leather Tote Bag - Black,"Structured black leather tote bag with subtle branding, fits a laptop",7999,https://plus.unsplash.com/premium_photo-1681324227573-953664cf9b32?w=500&h=500&fit=crop,bags,"office siren, tote bag, black leather, structured, professional, workwear",4.9,145
79,Silver-Tone Watch,"Minimalist silver-tone watch with a stainless steel strap and white dial",5999,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?w=500&h=500&fit=crop,watches,"office siren, watch, silver-tone, minimalist, professional, accessories",4.8,190
80,Formal Pumps - Black,"Pointed-toe black leather pumps with a low block heel",4599,https://plus.unsplash.com/premium_photo-1705554330163-2e0ccc1808e2?w=500&h=500&fit=crop,shoes,"office siren, formal shoes, black pumps, leather, pointed-toe, workwear",4.6,170
81,Embroidered Kurta Set,"White cotton kurta with intricate blue embroidery, paired with churidar pants",3999,https://plus.unsplash.com/premium_photo-1682097935697-2ed1efce421a?w=500&h=500&fit=crop,kurta,"desi, embroidered, kurta, white, blue, ethnic, traditional",4.5,120
82,Tribal Silver Ring,"Bohemian style silver ring with intricate tribal carvings and a turquoise stone",1899,https://images.unsplash.com/photo-1620968867360-5cda83d2bffd?w=500&h=500&fit=crop,rings,"boho chic, tribal, silver, ring, turquoise, bohemian, ethnic",4.7,85
83,Strappy Leather Sandals,"Tan leather sandals with multiple straps and a comfortable cork sole",2599,https://plus.unsplash.com/premium_photo-1670574914335-0bcd4a768d76?w=500&h=500&fit=crop,sandals,"boho chic, leather, sandals, straps, comfortable, casual, bohemian",4.6,155
84,Oversized Hoodie - Gray,"Charcoal gray oversized hoodie with drop shoulders and subtle logo branding",3899,https://plus.unsplash.com/premium_photo-1670574914335-0bcd4a768d76?w=500&h=500&fit=crop,hoodies,"streetwear, oversized, gray, hoodie, drop shoulders, casual",4.4,220
85,Aviator Sunglasses,"Classic aviator sunglasses with a thin metal frame and tinted lenses",2199,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500&h=500&fit=crop,sunglasses,"streetwear, aviator, sunglasses, tinted, classic, cool",4.8,300
86,Multilayered Chain Necklace,"Set of three layered silver chain necklaces with various textures",1799,https://images.unsplash.com/photo-1682364853107-9b87abbc0269?w=500&h=500&fit=crop,necklaces,"streetwear, layered necklace, silver chain, minimalist, urban",4.6,110
87,Black Track Pants with Stripes,"Relaxed fit black track pants with white side stripes and elastic cuff",2899,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=500&h=500&fit=crop,pants,"streetwear, track pants, black, stripes, relaxed fit, urban",4.5,190
88,Mandarin Collar Kurta - Green,"Light green kurta in a simple, elegant design with a mandarin collar",3299,https://images.unsplash.com/photo-1727835523545-70ee992b5763?w=500&h=500&fit=crop,kurta,"desi, kurta, mandarin collar, green, elegant, ethnic",4.4,90
89,Oxidized Silver Jhumkas,"Large oxidized silver jhumka earrings with intricate dome design",1699,https://images.unsplash.com/photo-1714733831162-0a6e849141be?w=500&h=500&fit=crop,jhumkas,"desi, jhumka, oxidized silver, earrings, traditional, ethnic",4.7,140
90,Embellished Heels,"Pointed toe heels with a pointed toe and rhinestone embellishments",5999,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=500&h=500&fit=crop,shoes,"office siren, pumps, rhinestone, formal, sleek, professional",4.9,105
91,Minimalist Leather Handbag,"A small, structured leather handbag in black with a gold chain strap",4599,https://images.unsplash.com/photo-1605733513597-a8f8341084e6?w=500&h=500&fit=crop,bags,"office siren, handbag, black leather, structured, minimalist, professional",4.8,130
92,Geometric Sunglasses,"Modern geometric-shaped sunglasses with a thin metal frame",1899,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500&h=500&fit=crop,sunglasses,"streetwear, geometric, modern, minimalist, urban",4.3,210
93,Crystal Studded Bangle,"A wide bangle with intricate crystal studs and a silver finish",2299,https://images.unsplash.com/photo-1690175867343-2af70ea57537?w=500&h=500&fit=crop,bangles,"desi, crystal, bangle, silver, traditional, ethnic",4.6,75
94,Boho Maxi Dress,"A flowing maxi dress with bohemian patterns and a loose fit",5299,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=500&h=500&fit=crop,dresses,"boho chic, maxi dress, flowing, bohemian, patterns, relaxed",4.7,280
95,Distressed Denim Jacket,"Oversized denim jacket with light distressing and faded wash",4599,https://images.unsplash.com/photo-1537465978529-d23b17165b3b?w=500&h=500&fit=crop,jackets,"streetwear, denim jacket, distressed, oversized, urban",4.5,160
96,Simple Diamond Stud Earrings,"Small, elegant diamond stud earrings in a classic four-prong setting",8999,https://images.unsplash.com/photo-1652766540048-de0a878a3266?w=500&h=500&fit=crop,earrings,"office siren, diamond studs, elegant, professional, minimalist",5.0,90
97,Embroidered Ankle Boots,"Ankle boots with intricate embroidery and a low heel",3899,https://plus.unsplash.com/premium_photo-1670983858132-c2f3c4dbf08c?w=500&h=500&fit=crop,boots,"boho chic, ankle boots, embroidered, bohemian, ethnic",4.4,120
98,Silver Charm Bracelet,"A silver bracelet with multiple small charms and pendants",1499,https://images.unsplash.com/photo-1676291055501-286c48bb186f?w=500&h=500&fit=crop,bracelets,"boho chic, silver, charm bracelet, bohemian, accessories",4.5,65
99,Oversized Button-Down Shirt,"A crisp, oversized button-down shirt in a light blue shade",3199,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=500&h=500&fit=crop,shirts,"office siren, oversized, button-down, professional, clean",4.7,150
100,Tapered Cotton Trousers - Beige,"Lightweight tapered cotton trousers in beige, perfect for a smart casual look",3599,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=500&h=500&fit=crop,pants,"office siren, tailored, trousers, beige, smart casual",4.6,180
